Employee_ID,Name,Department,Sub_Team,Total_Weekly_Hours,Overtime_Hours,Projects_Completed,Avg_Days_Early,Value_Score
EMP1050,William Moore,Engineering,Backend,43,3,2,0.7,29.5
EMP4215,Jennifer Miller,Engineering,Backend,40,3,4,4.4,62
EMP7489,Sarah Jackson,Engineering,Backend,55,15,3,2.8,74
EMP1648,Linda Brown,Engineering,Backend,40,0,1,4,30
EMP3186,Mary Robinson,Engineering,Backend,53,13,5,4,96
EMP6117,James Taylor,Engineering,Backend,40,0,4,-2.9,25.5
EMP1857,Elizabeth Garcia,Engineering,Backend,40,0,3,-0.4,28
EMP7518,Michael Taylor,Engineering,Backend,40,0,3,1.8,39
EMP5077,Patricia Jones,Engineering,Frontend,43,3,7,0.8,80
EMP7333,Thomas Taylor,Engineering,Frontend,48,8,6,1.2,82
EMP7805,David Jackson,Engineering,Frontend,44,4,7,4.9,102.5
EMP5586,Patricia Wilson,Engineering,Frontend,40,0,7,-0.7,66.5
EMP5543,Elizabeth Johnson,Engineering,Frontend,40,0,9,-1.4,83
EMP3493,Jessica Davis,Engineering,Frontend,40,0,1,2.2,21
EMP5684,Richard Williams,Engineering,Frontend,49,9,9,-0.5,105.5
EMP1541,Karen Harris,Engineering,DevOps,40,0,1,-1.3,3.5
EMP1266,Jessica Jackson,Engineering,DevOps,40,0,4,-0.4,38
EMP5645,Thomas Jones,Engineering,DevOps,40,0,2,0,20
EMP7421,Patricia Smith,Engineering,DevOps,44,4,7,1.7,86.5
EMP6328,Charles Miller,Engineering,DevOps,69,29,6,3.4,135
EMP8008,James Garcia,Engineering,DevOps,40,0,7,-1.8,61
EMP6794,Elizabeth Martinez,Engineering,DevOps,41,1,8,-2.7,68.5
EMP1812,William Taylor,Engineering,DevOps,50,10,5,4.2,91
EMP6949,Mary Garcia,Engineering,DevOps,40,0,7,-1.1,64.5
EMP1979,Linda Taylor,Engineering,DevOps,40,0,6,1.2,66
EMP8950,Joseph Jones,Engineering,QA,53,13,4,2.2,77
EMP5524,Elizabeth White,Engineering,QA,41,1,7,4.8,96
EMP7021,Sarah Brown,Engineering,QA,45,5,9,-0.8,96
EMP7614,John Martinez,Engineering,QA,56,16,2,-0.8,48
EMP1903,Elizabeth Taylor,Engineering,QA,40,0,5,1.9,59.5
EMP5320,Joseph Garcia,Engineering,QA,40,0,7,-0.9,65.5
EMP8226,Joseph Wilson,Engineering,QA,40,0,3,0.5,32.5
EMP5546,Richard Davis,Engineering,Data Science,57,17,8,0.5,116.5
EMP1696,James Johnson,Engineering,Data Science,48,8,10,1.9,125.5
EMP7019,John Moore,Engineering,Data Science,40,0,6,1.5,67.5
EMP4790,Karen Davis,Engineering,Data Science,60,20,3,-1.7,61.5
EMP4391,Sarah Brown,Engineering,Data Science,44,4,7,-0.6,75
EMP8560,Michael White,Engineering,Data Science,40,0,5,1.7,58.5
EMP5888,Mary Thompson,Engineering,Data Science,40,0,9,1.6,98
EMP8768,Sarah Garcia,HR,Recruiting,40,0,10,-0.4,98
EMP2842,Patricia Jones,HR,Recruiting,58,18,9,3.2,142
EMP8644,Richard Taylor,HR,Recruiting,40,0,5,-0.9,45.5
EMP8407,Jennifer Thomas,HR,Recruiting,52,12,3,2.3,65.5
EMP3045,Thomas Anderson,HR,Recruiting,48,8,9,3.4,123
EMP6315,Linda Brown,HR,Recruiting,43,3,10,-0.5,103.5
EMP6062,Jennifer Martinez,HR,Recruiting,40,0,5,-1.4,43
EMP9128,Barbara Jackson,HR,Recruiting,61,21,6,1.6,110
EMP2683,Robert Martinez,HR,Recruiting,41,1,4,-0.2,41
EMP8678,Charles Thomas,HR,Recruiting,65,25,5,1.5,107.5
EMP9937,Thomas Thompson,HR,Employee Relations,47,7,6,-0.4,72
EMP6734,Elizabeth Johnson,HR,Employee Relations,40,0,2,0.2,21
EMP1905,Barbara Anderson,HR,Employee Relations,52,12,3,0.6,57
EMP2979,Michael Anderson,HR,Employee Relations,40,0,1,0.8,14
EMP7620,David Moore,HR,Employee Relations,40,0,4,-1.1,34.5
EMP4082,Thomas Davis,HR,Employee Relations,54,14,1,2.8,52
EMP6766,Jennifer Robinson,HR,Employee Relations,48,8,6,1.6,84
EMP3223,Elizabeth Jackson,HR,Employee Relations,46,6,7,0.2,83
EMP9621,Richard Miller,HR,Employee Relations,40,0,5,1,55
EMP7829,Susan White,HR,Employee Relations,40,0,5,1.5,57.5
EMP2612,Michael Thompson,HR,Employee Relations,49,9,3,1.5,55.5
EMP2557,Karen Thomas,HR,Employee Relations,49,9,6,0.6,81
EMP1740,Jennifer Martinez,HR,Employee Relations,52,12,10,3.8,143
EMP6529,Linda Thompson,HR,Employee Relations,48,8,4,-2.2,45
EMP7279,Barbara Martinez,HR,Payroll,64,24,3,4.3,99.5
EMP5241,William Wilson,HR,Payroll,42,2,3,-0.4,32
EMP5089,Robert Smith,HR,Payroll,40,0,3,-1.1,24.5
EMP5104,Patricia Moore,HR,Payroll,40,0,4,1.4,47
EMP9900,Susan Moore,HR,Payroll,59,19,10,1.5,145.5
EMP4639,John Jones,HR,Payroll,61,21,1,-2.3,40.5
EMP1609,William Garcia,HR,Payroll,47,7,4,-0.4,52
EMP2089,Richard Garcia,Sales,Enterprise,40,0,9,1.2,96
EMP4332,Jessica Johnson,Sales,Enterprise,47,7,1,1.7,32.5
EMP3745,Mary Thompson,Sales,Enterprise,41,1,2,0.6,25
EMP3196,David Taylor,Sales,Enterprise,49,9,3,2.5,60.5
EMP1545,David Taylor,Sales,Enterprise,60,20,5,1.1,95.5
EMP2651,David Williams,Sales,Enterprise,48,8,4,-2.1,45.5
EMP1756,Patricia Thomas,Sales,Enterprise,43,3,10,-1.3,99.5
EMP4424,Charles Taylor,Sales,Enterprise,53,13,2,1,51
EMP4174,William Jones,Sales,Enterprise,40,0,5,2.6,63
EMP1968,Charles Johnson,Sales,Enterprise,41,1,4,4,62
EMP4308,Jessica Davis,Sales,Enterprise,53,13,9,1.5,123.5
EMP6479,Susan Taylor,Sales,Enterprise,44,4,9,0.6,101
EMP6789,Robert Garcia,Sales,Enterprise,40,0,5,-0.1,49.5
